"sentence","emotion A1","emotion A2","emotion A3"
"সুদখোর সুবলের লোভের দৃষ্টিকে ছোট্টো থেকে সোহাগীর খুব ভয়।
","5","5","5"
" ওর বাবা জুগনুর খুব ইচ্ছে ছিলো পঞ্চাশ বছর বয়সী, দ্বোজবরে সুবলের সাথে সোহাগীর বিয়ে দেয়।
","5","5","5"
" সোহাগী পালিয়ে গিয়ে বাপের অমতে বিশাল চেহারার যুবক বুধনকে যখন বিয়ে করে তখন থেকে সেই ভয় একটু একটু করে কমে যায়।
","5","5","5"
" বনের ধারের কুঁড়েতে নতুন সংসারে, সোহাগী আর বুধন দুজনে মিলে গাছের শব্দ, পাখির কুজন, মহুলের গন্ধ মেখে আনন্দে বেশ দিন কাটাতে শুরু করলো।
","5","5","5"
" সব ভালোর মধ‍্যে বুধনের একটাই দোষ ছিলো, হাঁড়িয়ার নেশা।
","5","5","5"
" একটু একটু করে সেই নেশা বুধনকে খেয়ে ফেলে।
","5","5","5"
" ওদের সুখের সংসারে যেনো আগুন লাগে।
","5","5","5"
" সোহাগীর মনে বুধনকে হারানোর ভয় চেপে বসে।
","5","5","5"
" ও নিজের ক্ষমতা মতো বুধনকে যথাসম্ভব বাধা দিতে থাকে।
","5","5","5"
" কিন্তু, সুবল যেনো যমরাজ হয়ে দিনের পর দিন বুধনের নেশার টাকা জোগাতে থাকে।
","5","5","5"
" আসলে তো সুবলের লোভ সোহাগীর ডাগর শরীরের দিকে!  বুধন কোনো কথাই কানে নেয়না।
","5","5","5"
" সোহাগী বেশ বুঝতে পারছিলো, ওরা একটু একটু করে নিয়তির হাতের পুতুল হয়ে যাচ্ছে।
","5","5","5"
" কিছুতেই এর থেকে মুক্তি লাভ সম্ভব নয়।
","5","5","5"
" সোহাগী পড়ে মহা সমস‍্যায়।
","5","5","5"
" একদিকে নিজের বাবা জুগনু সোহাগীর বুধনের সাথে বিয়ে মানতে না পেরে ওর সাথে কোনো সম্পর্ক রাখেনা।
","5","5","5"
" আর বুধনের তো বাপ-মা বহু বছর হলো দেহ রেখেছে।
","5","5","5"
" সোহাগীর আশংকা সত্যি করে দিয়ে নেশার কামড়ে, এক ঝড় জলের রাতে  বুধন শেষ নিঃশ্বাস ত‍্যাগ করে।
","5","5","5"
" যখন বুধন মরে তখন সোহাগীর মাত্র এক কুড়ি বয়স, পেটের মধ্যে সোনা সাঁতার কাটছে।
","5","5","5"
" সেই ঝড়-জলের রাতে যখন বুধনের বুকে ব্যাথা উঠলো, হাসপাতালের ডাক্তার কে কোয়ার্টারে ডাকতে যাওয়ার পথেই মানুষ রূপী শয়তান সুবল সোহাগীর ইজ্জত লুটলো।
","5","5","5"
"  পাঁচমাসের পোয়াতি, ধর্ষিতা সোহাগী কিছুদিন শক্ত পাথরের মতো হয়ে গেছিলো| গ্রামের কারোর সাথেই কথা বলতোনা।
","5","5","5"
" ওর ঘরটা মহুয়া বনের পাশে একটেরে হওয়াতে এমনিই সকলের থেকে বিচ্ছিন্ন, তার ওপর ওর ব্যবহারে সবাই ওকে এড়িয়ে চলতে শুরু করে দিলো।
","5","5","5"
" এদিকে শয়তান সুবলও চাইছিলোনা যে, সোহাগী গ্রামের লোকজনের সাথে বেশী মেশে।
","5","5","5"
" তাই সকলের কাছে রটিয়ে দিলো যে, সোহাগী সাক্ষাৎ ডাইনি।
","5","5","5"
" নাহলে কি আর জোয়ান মদ্দ বুধন এরকমভাবে অল্প বয়সে মারা যায়! গ্রামের সরল সোজা মানুষ জন সে কথা বিশ্বাস করে সোহাগীকে আরো এড়িয়ে চলতে শুরু করলো।
","5","5","5"
" পোয়াতি শরীরে না খেতে পেয়ে সোহাগী প্রায় মৃত প্রায় হয়ে কুঁড়ে ঘরে পড়ে রইলো।
","5","5","5"
" কথায় বলে মেয়েদে্র কই মাছের প্রাণ।
","5","5","5"
" আশ্চর্যভাবে ধুঁকতে ধুঁকতে সোহাগী বেঁচে রইলো।
","5","5","5"
" সোহাগীর ছিলো এক বুড়ি, বিধবা পিসি।
","5","5","5"
" সেই পিসি গ্রামে লোকজনের বাড়িতে ফাই-ফরমাস খেটে আর মুড়ি ভেজে দিন কাটাতো।
","5","5","5"
" একদিন গ্রামের এক বাড়িতে শুনলো সোহাগী নাকি ডাইনি! এ কথা এক গলা গঙ্গা জলে দাঁড়িয়ে কেউ বললেও পিসি বিশ্বাস করবেনা।
","5","5","5"
" অতো নরম সরম, ভালো মনের মেয়ে খুব কমই হয়।
","5","5","5"
" পিসি সেইদিনই সোহাগীর খবর নিতে গেলো।
","5","5","5"
" গিয়ে দেখে বিশাল পেট নিয়ে ডিগডিগে হাড় সর্বস্ব সোহাগী ঘরের মেঝেতে পড়ে আছে।
","5","5","5"
" স্বামী-সন্তান হারা পিসি সেইদিন থেকে সোহাগী আর তার অনাগত সন্তানের দায়িত্ব নেয়।
","5","5","5"
" দিন যায় পেটের ভেতর খিদের জ্বালায় সোনা নড়ে চড়ে, রাগে লাথি মারে আর বুড়ি পিসি এর ওর বাড়ি মুড়ি ভেজে, জন খেটে দুটো শাক ভাত দিয়ে শান্ত রাখে।
","5","5","5"
" যখন এক শীতের মিঠে রোদ গায়ে মেখে সোনা জন্মালো, তখন মেয়ে সন্তান দেখে সোহাগীর মনের মধ্যে ভয়টা জাঁকিয়ে বসলো।
","5","5","5"
" ভয় আসলে রাতের অন্ধকারের।
","5","5","5"
" সারা রাত কুঁড়ের চারপাশে কোনো কিছুর পায়ের শব্দ শোনা যায়।
","5","5","5"
" পিসিকে দু হাতে আঁকড়ে সোহাগী সারা রাত ভয়ে কাঁপে।
","5","5","5"
" বুধনের শেষের সেইদিনের ঝড়-জলের রাতের অভিজ্ঞতা ওর মনে সার জীবনের জন‍্য ভয় তৈরী করে দিয়েছে।
","5","5","5"
" সোহাগী ছিলো সত‍্যিই অভাগী।
","5","5","5"
" একদিন যখন সেই বুড়ি পিসিও দুদিনের জ্বরে ইহলোক ত্যাগ করলো তখন সোনা মাত্র চার বছরের ছোট্টো খুকু।
","5","5","5"
" সোহাগী বুকের ভেতর ভয় চেপে রেখে মেয়ের মুখ চেয়ে প্রধানকে ধরে গ্রামে নতুন কাজ করতে আসা এন়জি়ও র যক্ষা হাসপাতালে কাজ নিলো।
","5","5","5"
" মাঝে মাঝে লোকজনের সাথে দরকার-অদরকারে কথা বলতেও শুরু করলো।
","5","5","5"
" ওর ভয় কিন্তু তাতেও গেলোনা, উল্টে দিন দিন বাড়তে লাগলো।
","5","5","5"
" সবাই বলাবলি করতে লাগলো যে, সোহাগী একজন ডাইনি বলে পিসিকেও খেয়ে নিয়েছে।
","5","5","5"
" এদিকে, পিসি মরার দিন তিনেকের মধ্যে থেকে রাত বিরেতে ওর কুঁড়ে ঘরের দরজায় আবার দুমদাম শব্দ হতে লাগলো।
","5","5","5"
" সোহাগী মেয়েকে বুকে আঁকড়ে বুধনের কালো পাথরে খোদাই করা বিশাল ছাতি কল্পনা করে তার মাঝে আশ্রয় খুঁজতে শুরু করলো।
","5","5","5"
" রাতগুলো যেনো গিলে খেতে আসে সোহাগীকে।
","5","5","5"
" সবকিছু ঠিকঠাকই চলছিলো।
","5","5","5"
" গ্রামের লোকজন সোহাগীকে এড়িয়েই চলে।
","5","5","5"
" একে তো ডাইনি অপবাদ আছে, তার ওপর আবার যক্ষ্মা হাসপাতালে কাজ করে! এরমধ্যে একটা ঘটনায় ওদের আপাত শান্ত গ্রামের লোকজনের মধ‍্যে অস্হিরতা দেখা গেলো।
","5","5","5"
" একদিন ভোরবেলা সুবলকে বনের মাঝে ক্ষত- বিক্ষত, মৃত অবস্হায় কাঠ কুড়ানির দল খুঁজে পেলো।
","5","5","5"
" সুবলের মৃতদেহ দেখে মনে হচ্ছিলো, যেনো কোনো হিংস্র জন্তু অন্ধ রাগে ওকে ছিন্ন বিচ্ছিন্ন করে দিয়েছে| কিন্তু, এই জঙ্গলে শিয়াল, ভাম ছাড়া কোনো হিংস্র জন্তু না থাকায় সেই ভয়ানক প্রাণীকে কেউ চিহ্নিত করতে পারলোনা।
","5","5","5"
" তাই সকলে খুব আতঙ্কে ভুগতে শুরু করলো।
","5","5","5"
" আশ্চর্য জনক ভাবে এই ঘটনার কিছুদিনের মধ্যেই সোহাগীর মন থেকে সব ভয় উড়ে গিয়ে ওদের ছোট্টো গ্রামের সব মানুষের মধ্যে ছড়িয়ে গেলো| সেই ভয় ডাইনির ভয়| সুবলের মৃত‍্যু এই ডাইনির জন‍্যই হয়েছে, এই বিষয়ে সকলে একমত হলেও রাতের অন্ধকারে সুবল জঙ্গলে কী করতে গেছিলো সেটা কেউ ভাবলোও না! ভেলকিবাজির মতো সেদিনের পর থেকে রাত বিরেতের উৎপাত বন্ধ হয়ে গেলো| আর সোহাগীরও জীবন থেকে ভয় নামক বস্তুটা পুরো হাওয়া হয়ে গেলো| শান্তি কিন্তু বেশীদিন বজায় রইলোনা।
","5","5","5"
" সুবলের মৃত‍্যুর কয়েকদিনের মধ‍্যেই একদিন গ্রামের লোকজন ছনুর দু বছরের ছেলের জ্বর না সারার কারণে সোহাগীর ঘর জ্বালাতে এসেছিলো... কিন্তু, সোহাগীর তো আর ভয় নেই ভয় তো এখন অন্যদের! তাই ভগবানের দূত হয়ে এন.জি.ও র দিদি কিভাবে খবর পেয়ে বি.ডি.ও. সাহেবকে নিয়ে চলে এলেন।
","5","5","5"
" সক্কলে ভয়ে গুটিয়ে চলে গেলো।
","5","5","5"
" রাতবিরেতে এখন ভয়টা সোহাগীর বদলে গ্রামের মানুষ জন পায়।
","5","5","5"
" ওরা ভুলেও রাতের বেলা সোহাগীর কুঁড়ের ধারপাশ মাড়ায়না।
","5","5","5"
" ও হ্যাঁ সোহাগীর মেয়ে সোনা এখন চটের থলেতে বই নিয়ে অন্য বাচ্চাদের মতো স্কুলে যায়| ওর মা ডাইনি বলে ওরও কোনো ভয় নেই।
","5","5","5"
" আসল কথা হলো ভয়টা থেকে যায়, এর বিনাশ নেই।
","5","5","5"
" শুধু একজনের থেকে অন্যজনের মধ্যে সমক্রামিত হয়।
","5","5","5"
" ।
","5","5","5"
